brokenShed4x6;0.5,0,3.5;0,-0.7071067094802856,0,-0.7071067094802856
barrel;4.5,0,1.5;0,0,0,1
barrel;6.5,0,2.5;0,0,0,1
flower;5.5,0,3.5;0,0,0,1
mauzer2x2;9.5,0,4.5;0,0.7071067094802856,0,-0.7071067094802856
mauzer2x2;7.5,0,6.5;0,0.7071067094802856,0,-0.7071067094802856
barrel;7.5,0,0.5;0,0,0,1
brokenWall3x4;12.5,0,-0.5;0,0,0,-0.9999998807907104
fence1x3;7.5,0,-1.5;0,0,0,1
fence1x3;4.5,0,-1.5;0,0,0,1
fence1x3;1.5,0,-1.5;0,0,0,1
fence1x3;-1.5,0,-1.5;0,0,0,1
fence1x3;-4.5,0,-1.5;0,0,0,1
fence1x3;-7.5,0,-1.5;0,0,0,1
fence1x3;-8.5,0,0.5;0,-0.7071067690849304,0,0.7071067690849304
fence1x3;-8.5,0,3.5;0,-0.7071067690849304,0,0.7071067690849304
grassLoose2x2;3.5,0,9.5;0,0,0,1
grassLoose2x2;2.5,0,9.5;0,-0.7071067690849304,0,0.7071067690849304
grassLoose2x2;2.5,0,12.5;0,-0.9999999403953552,0,0
grassLoose2x2;3.5,0,12.5;0,-0.7071067094802856,0,-0.7071067094802856
grassLoose2x2;5.5,0,11.5;0,0,0,-0.9999998807907104
grassLoose2x2;6.5,0,9.5;0,0.7071067094802856,0,-0.7071067094802856
grassLoose2x2;4.5,0,8.5;0,0.9999998807907104,0,0
grassLoose2x2;2.5,0,8.5;0,0.9999998807907104,0,0
grassLoose;6.5,0,8.5;0,0,0,1
grassLoose;5.5,0,8.5;0,-0.7071067690849304,0,0.7071067690849304
grassLoose;5.5,0,7.5;0,-0.7071067690849304,0,0.7071067690849304
grassLoose;7.5,0,8.5;0,-0.7071067690849304,0,0.7071067690849304
grassLoose;8.5,0,8.5;0,-0.9999999403953552,0,0
grassLoose;8.5,0,7.5;0,-0.9999999403953552,0,0
grassLoose;8.5,0,6.5;0,-0.9999999403953552,0,0
grassLoose;9.5,0,6.5;0,-0.7071067094802856,0,-0.7071067094802856
grassLoose;9.5,0,7.5;0,0,0,-0.9999998807907104
grassLoose2x2;8.5,0,10.5;0,0.9999998807907104,0,0
grassLoose2x2;7.5,0,12.5;0,0.7071067094802856,0,0.7071067094802856
grassLoose2x2;9.5,0,12.5;0,0.7071067094802856,0,0.7071067094802856
grassLoose2x2;9.5,0,9.5;0,0,0,0.9999998807907104
grassLoose;9.5,0,8.5;0,0.7071067094802856,0,-0.7071067094802856
grassLoose;10.5,0,8.5;0,0.9999998807907104,0,0
grassLoose;10.5,0,7.5;0,0.9999998807907104,0,0
grassLoose;10.5,0,6.5;0,0.7071067094802856,0,0.7071067094802856
grassLoose2x2;4.5,0,5.5;0,0,0,0.9999998807907104
grassLoose2x2;2.5,0,5.5;0,0,0,0.9999998807907104
grassLoose;1.5,0,6.5;0,0.7071067094802856,0,0.7071067094802856
grassLoose;1.5,0,5.5;0,0,0,0.9999998807907104
grassLoose;6.5,0,5.5;0,0,0,0.9999998807907104
grassLoose;7.5,0,5.5;0,0,0,0.9999998807907104
grassLoose;7.5,0,4.5;0,-0.7071067094802856,0,0.7071067094802856
grassLoose;6.5,0,4.5;0,-0.9999998807907104,0,0
grassLoose;5.5,0,4.5;0,-0.9999998807907104,0,0
grassLoose;4.5,0,4.5;0,-0.7071067094802856,0,-0.7071067094802856
stones2x4;-7.5,0,-3.5;0,0,0,1
stones2x4;-7.5,0,-8.5;0,-0.7071067690849304,0,0.7071067690849304
